isin,symbol
DE0006219934,JUN3.DE
US62526P1093,MULN
AU000000EUR7,EUR.AX
NO0010208051,YAR.OL
US6974351057,PANW
US74767V1098,QS
AU000000LYC6,LYC.AX
ZAE000083648,IMP.JO
NO0003054108,MOWI.OL
US7960542030,XSDG.F
DE0006452907,NEM.DE
US8336351056,SQM
DE0006969603,PUM.DE
US81141R1005,SE
CA89624B1040,TCF.CN
US18915M1071,NET
DE000LS1LUS9,LUS1.DE
US6092071058,MDLZ
DE0005773303,FRA.DE
FR0000120321,OR.PA
US7181721090,PM
DE0005785802,FME.DE
NL0015000F41,LILM
NL0012169213,QGEN
US77543R1023,ROKU
BMG169621056,BG
DE0005419105,COK.DE
DE000A1X3W00,MDG1.DE
US98980L1017,ZM
US67421J1088,OTLY
GB0002374006,DGE.L
US9314271084,WBA
DE000A3H2333,HABA.DE
CH0012221716,ABBN.SW
DE0007856023,ZIL2.DE
GB00BP83GZ24,PPS.L
US0091581068,APD
US9621661043,WY
DE0005408884,LEO.DE
BE0974293251,ABI.BR
DE0005654933,EIN3.DE
CA87320M1014,TAAT.CN
GB00B4WQVY43,PHE.L
GB0006825383,PSN.L
DE0005313506,EKT.DE
US25179M1036,DVN
CA89239Q1081,TRAC.CN
US6819361006,OHI
CNE1000004L9,2338.HK
AN8068571086,SLB
FR0000120644,BN.PA
DE0005493365,HYQ.DE
US8825081040,TXN
DE0005565204,DUE.DE
BRPETRACNOR9,PETR3.SA
US92556H2067,PARA
DE0007231334,SIX3.DE
US74144T1088,TROW
US8269171067,SIGA
CA02315E1051,AMZN.NE
CH0244767585,UBSG.SW
KYG9829N1025,0968.HK
DE000A0HN5C6,DWNI.DE
NO0003067902,HEX.OL
AT0000A18XM4,AMS.SW
DE0006335003,KRN.DE
GB0002634946,BA.L
US8545021011,SWK
CA53680Q2071,LAC.TO
FR0000121485,KER.PA
CA21872J3073,COOL.CN
DE000A0Z23Q5,ADN1.DE
CH0010645932,GIVN.SW
DE000A288904,COP.DE
DE0006577109,NN6.DE
US75513E1010,RTX
US78409V1044,SPGI
US22160K1051,COST
US1101221083,BMY
CA0977512007,BBD-B.TO
AU0000066086,VUL.AX
DE0006202005,SZG.DE
CH0012032113,RO.SW
AU000000NMT1,NMT.AX
AT0000APOST4,POST.VI
US2605571031,DOW
US11135F1012,AVGO
ES0144580Y14,IBE.MC
NO0005052605,NHY.OL
US16411R2085,LNG
AU000000ARU5,ARU.AX
NO0010196140,NAS.OL
US0010841023,AGCO
CA1380351009,WEED.TO
ES0143416115,SGRE.MC
DE000A0KPPR7,NTG.DE
US4878361082,K
CA1366351098,CSIQ
DK0061414711,EFUEL.OL
AT0000937503,VOE.VI
ZAE000259701,SSW.JO
