isin,symbol
AU000000EOL3,EOL.AX
AU000000EOS8,EOS.AX
AU000000EPM8,EPM.AX
AU000000EQE3,EQE.AX
AU000000EQS3,False
AU000000EQX3,EQX.AX
AU000000ERA9,ERA.AX
AU000000ERL6,ERL.AX
AU000000ERM4,ERM.AX
AU000000ESK6,ESK.AX
AU000000EUR7,EUR.AX
AU000000EVN4,EVN.AX
AU000000EVS3,EVS.AX
AU000000EVT1,EVT.AX
AU000000EWC5,EWC.AX
AU000000EXL4,EXL.AX
AU000000EXR1,EXR.AX
AU000000EZL9,EZL.AX
AU000000FAR6,FAR.AX
AU000000FAS4,False
AU000000FBR4,FBR.AX
AU000000FCT8,FCT.AX
AU000000FDM1,False
AU000000FDV2,FDV.AX
AU000000FFG8,FFG.AX
AU000000FGR3,FGR.AX
AU000000FHS9,FHS.AX
AU000000FLC5,FLC.AX
AU000000FLN2,FLN.AX
AU000000FLT9,FLT.AX
AU000000FMG4,FMG.AX
AU000000FML4,FML.AX
AU000000FRI9,FRI.AX
AU000000FSA4,FSA.AX
AU000000FTZ9,FTZ.AX
AU000000FWD0,FWD.AX
AU000000FXR8,False
AU000000FYI5,FYI.AX
AU000000FZO0,FZO.AX
AU000000FZR3,FZR.AX
AU000000G1A1,G1A.AX
AU000000GBE0,GBE.AX
AU000000GBP6,GBP.L
AU000000GBZ5,GBZ.AX
AU000000GCR0,GCR.AX
AU000000GCY6,GCY.AX
AU000000GEM7,GEM.AX
AU000000GGE9,GGE.AX
AU000000GGG4,GGG.AX
AU000000GGX9,GGX.AX
AU000000GLA7,GLA.AX
AU000000GLB5,GLB.AX
AU000000GLH2,GLH.AX
AU000000GLL4,GLL.AX
AU000000GMA5,GMA.AX
AU000000GMD9,GMD.AX
AU000000GME7,GME.AX
AU000000GMG2,GMG.AX
AU000000GMN8,GMN.AX
AU000000GMR9,GMR.AX
AU000000GNC9,GNC.AX
AU000000GNS5,False
AU000000GNX5,GNX.AX
AU000000GOR5,GOR.AX
AU000000GOZ8,GOZ.AX
AU000000GPR2,GPR.AX
AU000000GPT8,GPT.AX
AU000000GRR8,GRR.AX
AU000000GRV0,GRV.AX
AU000000GTE2,GTE.AX
AU000000GTG7,GTG.AX
AU000000GTN3,GTN.AX
AU000000GTR4,GTR.AX
AU000000GUD2,GUD.AX
AU000000GUL5,GUL.AX
AU000000GWA4,GWA.AX
AU000000GWR8,GWR.AX
AU000000HAS0,HAS.AX
AU000000HAV4,HAV.AX
AU000000HAW2,HAW.AX
AU000000HCT4,HCT.AX
AU000000HE80,HE8.AX
AU000000HFR1,HFR.AX
AU000000HGO6,HGO.AX
AU000000HIL8,HIL.AX
AU000000HLO6,HLO.AX
AU000000HMX5,HMX.AX
AU000000HNR5,HNR.AX
AU000000HOR3,HOR.AX
AU000000HPI9,HPI.AX
AU000000HRL9,HRL.AX
AU000000HRN5,HRN.AX
AU000000HRR6,False
AU000000HSN3,HSN.AX
AU000000HT83,HT8.AX
AU000000HTA8,HTA.AX
AU000000HVN7,HVN.AX
AU000000HXG7,HXG.AX
AU000000HZN8,HZN.AX
AU000000HZR9,HZR.AX
AU000000IAG3,IAG.AX
